date,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone
1920-01-01,45207,10557,20023,14586,2430,8125,1.0325967217466321,-2.1456148678069717
1920-01-02,61533,12354,26487,20637,2503,11850,1.7769440787869921,-1.8496136861361914
1920-01-03,76007,21977,37539,22024,3248,13119,0.367697712052837,-2.7551451054173617
1920-01-04,54482,16317,27444,15102,2851,9036,0.084279211482691532,-2.9721551927883061
1920-01-05,31896,10047,15993,8632,1848,5381,-0.22802545773764732,-2.9506511802890132
1920-01-06,86,22,23,13,1,49,0.3081395348837207,-0.078324277565564732
2005-02-20,4,0,0,4,0,0,3.4,1.5591539535201497
2005-02-21,10,4,6,4,0,0,-1.1599999999999997,-1.895735447909499
2005-02-22,8,2,6,2,0,0,1.9,-1.1627140684287425
2005-02-23,4,0,0,4,0,0,3.4,-1.9510599430021149
2005-02-24,12,1,7,4,1,0,2.8249999999999997,-1.7705820805041945
2005-02-25,11,7,9,1,0,1,-4.2818181818181813,-2.5738818586660592
2005-02-26,7,1,5,2,0,0,3.7857142857142856,-4.3484263685736062
2005-02-27,20,3,7,10,1,2,1.7549999999999994,1.9271267719101357
2005-02-28,15,0,6,7,0,2,4.92,-0.48185037788214813
2005-03-01,19,0,7,12,0,0,4.8210526315789473,-0.097371929726657674
2005-03-02,5,0,2,0,1,2,3.2600000000000007,-3.3078173780579077
2005-03-03,5,1,1,3,1,0,-1.2600000000000002,-3.75546967014282
2005-03-04,7,3,7,0,0,0,-0.042857142857142261,-0.9612933507952387
2005-03-05,10,1,2,5,0,3,3.84,-0.110355627052314
2005-03-06,13,2,5,5,0,3,2.3230769230769233,-1.1485276689194481
2005-03-07,4,2,4,0,0,0,-1.5,-1.7910024027164875
2005-03-08,7,1,6,1,0,0,3.8857142857142861,-1.1240876810662259
2005-03-09,3,0,3,0,0,0,7.4,-0.59386119560093653
2005-03-10,5,0,4,0,1,0,4.62,0.034436270398918
2005-03-11,18,9,17,0,1,0,-2.0999999999999996,-3.0034411999320976
2005-03-12,5,1,3,2,0,0,2.3200000000000003,-0.21348200856184185
2005-03-13,21,6,12,6,1,2,0.29523809523809547,-0.44926000712033753
2005-03-14,27,3,15,9,0,3,3.088888888888889,0.12444605193391306
2005-03-15,2,0,1,1,0,0,5.2,2.91666666666667
2005-03-16,6,1,3,2,0,1,3.1,-0.66020088049069336
2005-03-17,3,2,3,0,0,0,-4.333333333333333,-4.5159906450229066
2005-03-18,22,3,19,3,0,0,3.6363636363636354,-1.1796690898389912
2005-03-19,8,0,5,1,0,2,5.15,1.6797562004274238
2005-03-20,16,3,11,4,0,1,2.8,-0.24405463202513944
2005-03-21,19,1,7,8,0,4,4.0315789473684216,-0.92285351832519558
2005-03-22,13,6,7,6,0,0,-2.5076923076923081,-3.3678544847272751
2005-03-23,6,3,6,0,0,0,-2.166666666666667,-1.8259620219259749
2005-03-24,8,6,6,2,0,0,-6.275,-3.8055035890368849
2005-03-25,16,5,11,5,0,0,1.3000000000000005,1.4716066591150316
2005-03-26,10,1,3,6,1,0,3.1500000000000004,-2.4769586823922554
2005-03-27,8,5,6,2,0,0,-4.4750000000000005,0.39922222961382642
2005-03-28,12,2,7,5,0,0,3.45,0.16959540058200751
2005-03-29,18,2,8,10,0,0,3.3500000000000005,-0.77855589129305436
2005-03-30,2,0,1,1,0,0,5.4,-2.612169555275365
2005-03-31,3,0,1,1,0,1,5.0,-4.3626446729657093
2005-04-01,12,1,5,6,0,1,4.083333333333333,0.37270420122184666
2005-04-02,15,8,12,3,0,0,-2.7066666666666666,-2.650298879286658
2005-04-03,23,16,19,4,0,0,-5.62608695652174,-2.7645976201635825
2005-04-04,23,7,16,3,0,4,1.043478260869565,-1.7633532613962055
2005-04-05,14,2,12,1,0,1,2.8142857142857141,-1.557613406398537
2005-04-06,7,0,4,3,0,0,6.9142857142857137,1.2814321289694859
2005-04-07,4,0,2,1,0,1,5.7,-0.27777472869238
2005-04-08,5,1,2,2,0,1,1.7600000000000002,-3.3713508260709606
2005-04-09,16,2,4,2,0,10,3.325,1.2350101928700898
2005-04-10,21,2,8,4,0,9,4.2952380952380951,-0.1407257576167486
2005-04-11,16,4,6,6,0,4,2.1375000000000006,-1.6591643710746526
2005-04-12,21,9,12,9,0,0,-1.1857142857142859,-2.069431626084143
2005-04-13,11,3,6,5,0,0,1.2636363636363639,-1.8883820744546083
2005-04-14,19,8,13,0,0,6,-0.78947368421052633,-1.4724179979555754
2005-04-15,19,7,9,4,0,6,-0.93684210526315814,-2.8421767447243091
2005-04-16,14,6,6,8,0,0,-1.9714285714285711,-2.9627889702052026
2005-04-17,23,6,12,10,1,0,0.656521739130435,-0.64626243452746912
2005-04-18,20,6,14,5,1,0,0.51500000000000046,0.020601360753134471
2005-04-19,8,0,7,1,0,0,6.5999999999999988,0.87607162901603253
2005-04-20,5,4,5,0,0,0,-6.5200000000000005,-5.5120364615221984
2005-04-21,2,0,0,2,0,0,3.4,1.79104477611941
2005-04-22,23,1,13,10,0,0,5.5217391304347823,0.02741807748577485
2005-04-23,15,2,7,8,0,0,3.1866666666666665,1.4442476084516296
2005-04-24,23,3,7,9,0,7,2.6086956521739126,0.856637130528306
2005-04-25,6,1,3,1,0,2,1.9000000000000004,-0.67729011817054607
2005-04-26,9,0,6,2,0,1,5.7777777777777786,0.11748632946693963
2005-04-27,11,8,10,1,0,0,-5.6000000000000005,-5.6364606229237459
2005-04-28,7,3,4,3,0,0,-1.3857142857142861,-1.5914420191572016
2005-04-29,24,3,20,4,0,0,5.325,-0.059594202264738633
2005-04-30,15,1,5,8,2,0,2.1066666666666665,1.2757401404689916
2005-05-01,9,0,2,7,0,0,4.3111111111111109,1.6155041064956612
2005-05-02,16,2,9,7,0,0,3.6187499999999995,0.96414337660516136
2005-05-03,9,3,6,3,0,0,0.13333333333333336,-1.7116671243167045
2005-05-04,7,5,7,0,0,0,-5.0857142857142863,-2.3019695162602956
2005-05-05,5,0,1,3,1,0,2.1399999999999997,-3.41401364241913
2005-05-06,17,4,7,10,0,0,1.2588235294117645,-2.5019017215001718
2005-05-07,21,8,16,5,0,0,0.276190476190476,-0.15355085017975564
2005-05-08,8,2,8,0,0,0,2.9,-0.62166680565320509
2005-05-09,13,5,11,0,0,2,0.061538461538461875,-2.4774893252363164
2005-05-10,15,1,5,8,1,1,3.6333333333333333,-2.3088411985608519
2005-05-11,4,0,2,2,0,0,5.1999999999999993,0.054518444619115113
2005-05-12,20,8,13,1,0,6,-0.75,-1.1236480001717304
2005-05-13,24,12,15,5,0,4,-2.2416666666666667,-1.5563769651179653
2005-05-14,8,4,4,3,0,1,-2.8499999999999992,1.2971162070989777
2005-05-15,20,1,10,10,0,0,4.7600000000000007,-0.70998586767136351
2005-05-16,8,0,1,6,0,1,4.325,-3.1311977999818366
2005-05-17,20,9,12,7,1,0,-1.9999999999999996,-3.2823696079060749
2005-05-18,5,1,2,1,0,2,1.8800000000000001,-1.623634730288724
2005-05-19,16,0,4,6,0,6,4.6125,3.9727555174085234
2005-05-20,9,3,6,3,0,0,0.84444444444444422,-2.3250877516820507
2005-05-21,9,1,4,2,0,3,3.8444444444444441,-0.48207089908064216
2005-05-22,13,1,7,6,0,0,4.2923076923076922,1.9015879885777212
2005-05-23,15,3,5,7,0,3,1.7866666666666664,-1.7541358084574141
2005-05-24,24,1,14,9,0,1,5.7499999999999991,-1.3540055706882335
2005-05-25,16,3,12,1,0,3,3.0500000000000003,-3.3030789501123827
2005-05-26,6,6,6,0,0,0,-10.0,-6.2793064373818384
2005-05-27,4,0,2,2,0,0,5.25,0.42411837572098
2005-05-28,4,1,1,3,0,0,0.10000000000000009,-2.5553332238082822
2005-05-29,30,9,26,4,0,0,1.3666666666666669,-0.5621737629961957
2005-05-30,16,7,16,0,0,0,-0.38749999999999968,-2.2843763332765841
2005-05-31,17,1,13,3,1,0,4.4176470588235288,-0.38757739474582903
2005-06-01,6,1,1,3,0,2,1.8166666666666664,1.0218383047416595
