Date,Gold_Price,SAHMREALTIME,T10Y2Y,VIXCLS,DEXUSEU,DTWEXBGS,Disaster_Flag,Epidemic_Start_Flag,avg_tone,conflict_war_count,civil_unrest_protest_count
2006-01-03,533.6,-0.03,0.03,11.14,1.198,100.7558,1,0,0.2119686010589169,3.0,0.0
2006-01-04,534.55,-0.03,0.05,11.37,1.2091,100.2288,1,0,-2.26009657728575,6.0,0.0
2006-01-05,525.05,-0.03,0.04,11.31,1.2101,100.2992,1,0,0.0167566747174545,2.0,0.0
2006-01-06,539.65,-0.03,0.02,11.0,1.2148,100.0241,1,0,-1.9124925102973205,6.0,1.0
2006-01-09,549.12,-0.03,0.02,11.13,1.2064,100.1794,1,0,-3.7119457787939223,13.0,0.0
2006-01-10,542.55,-0.03,0.02,10.86,1.2063,100.1436,1,0,-2.583966326071508,12.0,0.0
2006-01-11,549.0,-0.03,0.02,10.94,1.2135,99.871,1,0,-2.1028855956941666,0.0,0.0
2006-01-12,548.2,-0.03,0.03,11.2,1.2035,100.0643,1,0,-0.6005654607820013,1.0,0.0
2006-01-13,556.88,-0.03,0.02,11.23,1.2103,99.9675,1,0,-1.5760195176715284,8.0,0.0
2006-01-16,562.2,-0.03,0.02,11.23,1.2103,99.9715,1,0,-2.823585674981732,7.0,0.0
2006-01-17,554.5,-0.03,0.01,11.91,1.2073,100.2447,1,0,-1.9617032787266493,6.0,0.0
2006-01-18,544.0,-0.03,0.01,12.25,1.2083,100.4085,1,0,-4.328760968795591,5.0,0.0
2006-01-19,558.0,-0.03,0.01,11.98,1.211,100.1862,1,0,-0.047659901987477,4.0,0.0
2006-01-20,553.8,-0.03,0.0,14.56,1.2101,99.9017,1,0,-1.0748091289066446,4.0,0.0
2006-01-23,559.2,-0.03,0.01,13.93,1.2276,99.3783,1,0,-2.573083397300054,5.0,0.0
2006-01-24,558.7,-0.03,0.03,13.31,1.2287,99.3434,1,0,-3.3749119921181627,6.0,0.0
2006-01-25,563.45,-0.03,0.03,12.87,1.2252,99.348,1,0,-2.21762671061966,3.0,0.0
2006-01-26,560.15,-0.03,0.04,12.42,1.2229,99.4798,1,0,-1.17845117845117,0.0,0.0
2006-01-27,559.55,-0.03,0.01,11.97,1.213,99.6433,1,0,-1.1647647585835508,37.0,1.0
2006-01-30,569.15,-0.03,0.02,12.39,1.2091,99.7144,1,0,-1.0461429261006103,3.0,0.0
2006-01-31,568.95,-0.03,-0.01,12.95,1.2158,99.4311,1,0,-0.4659004814682583,13.0,0.0
2006-02-01,569.15,-0.07,-0.02,12.36,1.2092,99.6132,1,0,-1.3286535692743833,3.0,0.0
2006-02-02,572.45,-0.07,-0.02,13.23,1.21,99.7916,1,0,-0.7892251165265223,3.0,0.0
2006-02-03,567.65,-0.07,-0.05,12.96,1.2021,100.118,1,0,-2.7197204405017588,10.0,1.0
2006-02-06,569.85,-0.07,-0.07,13.04,1.1971,100.1372,1,0,-2.3633724994971907,11.0,0.0
2006-02-07,548.85,-0.07,-0.04,13.59,1.1974,100.1759,1,0,1.1255341776112138,1.0,0.0
2006-02-08,550.85,-0.07,-0.08,12.83,1.1935,100.4879,1,0,-4.18376912140916,9.0,0.0
2006-02-09,563.95,-0.07,-0.12,13.12,1.1963,100.2117,1,0,-5.860514956823868,10.0,1.0
2006-02-10,550.95,-0.07,-0.1,12.87,1.192,100.322,1,0,-3.846469093156216,16.0,0.0
2006-02-13,539.05,-0.07,-0.1,13.35,1.1905,100.3955,1,0,-1.88771179670473,8.0,0.0
2006-02-14,547.62,-0.07,-0.07,12.25,1.1895,100.3987,1,0,-0.8469137924038938,3.0,0.0
2006-02-15,539.95,-0.07,-0.1,12.31,1.1884,100.4489,1,0,-1.031290282806266,4.0,0.0
2006-02-16,546.25,-0.07,-0.1,11.48,1.1882,100.5183,1,0,1.878258044820473,4.0,0.0
2006-02-17,552.15,-0.07,-0.12,12.01,1.1906,100.3404,1,0,0.7720075853327854,3.0,0.0
2006-02-20,556.05,-0.07,-0.12,12.01,1.1906,100.3447,1,0,-1.400039837294712,8.0,0.0
2006-02-21,553.85,-0.07,-0.14,12.41,1.1912,100.2346,1,0,-4.251911017792924,17.0,0.0
2006-02-22,554.35,-0.07,-0.15,11.88,1.1905,100.3879,1,0,-3.384978070264889,3.0,0.0
2006-02-23,549.38,-0.07,-0.16,11.87,1.1923,100.1956,1,0,0.68317677198975,0.0,0.0
2006-02-24,558.95,-0.07,-0.16,11.46,1.1882,100.2594,1,0,0.7230556620455038,10.0,0.0
2006-02-27,555.15,-0.07,-0.15,11.59,1.186,100.0724,1,0,1.0841293201870248,6.0,0.0
2006-02-28,561.75,-0.07,-0.14,12.34,1.1925,99.7695,1,0,-0.6462895657743236,6.0,0.0
2006-03-01,563.85,-0.07,-0.12,11.54,1.1899,99.8355,1,0,-2.0892056465148925,4.0,0.0
2006-03-02,568.75,-0.07,-0.08,11.72,1.2003,99.5969,1,0,-0.190427303314209,2.0,1.0
2006-03-03,565.05,-0.07,-0.08,11.96,1.2028,99.7024,1,0,-0.3728260590749628,3.0,0.0
2006-03-06,555.55,-0.07,-0.03,12.74,1.2002,99.9834,1,0,-2.0283702748816577,9.0,0.0
2006-03-07,552.95,-0.07,-0.03,12.66,1.1888,100.564,1,0,-2.1857015328803726,4.0,0.0
2006-03-08,543.85,-0.07,0.01,12.32,1.1914,100.8565,1,0,-3.91611877416845,1.0,0.0
2006-03-09,546.05,-0.07,0.02,12.68,1.192,100.7718,1,0,-1.4509013942186009,4.0,0.0
2006-03-10,540.35,-0.07,0.02,11.85,1.1886,100.9566,1,0,-0.8986075858175653,3.0,0.0
2006-03-13,546.15,-0.07,0.03,11.37,1.1942,100.8563,1,0,-0.8232993369457134,17.0,0.0
2006-03-14,551.95,-0.07,0.05,10.74,1.2025,100.312,1,0,-3.5431285735336417,0.0,0.0
2006-03-15,553.95,-0.07,0.04,11.35,1.2045,100.2121,1,0,-2.7387946526463964,3.0,0.0
